timestamp,open,high,low,close,volume
2024-01-01 00:00:00+00:00,42000,42100,41950,42050,1200
2024-01-01 00:01:00+00:00,42050,42150,42000,42120,900
2024-01-01 00:02:00+00:00,42120,42200,42080,42190,1100
2024-01-01 00:03:00+00:00,42190,42250,42150,42210,800
2024-01-01 00:04:00+00:00,42210,42300,42180,42280,1300
2024-01-01 00:05:00+00:00,42280,42350,42200,42240,1000
2024-01-01 00:06:00+00:00,42240,42300,42150,42180,950
2024-01-01 00:07:00+00:00,42180,42250,42100,42130,880
2024-01-01 00:08:00+00:00,42130,42200,42050,42190,920
2024-01-01 00:09:00+00:00,42190,42280,42150,42250,870
2024-01-02 00:00:00+00:00,42250,42400,42200,42380,1500
2024-01-02 00:01:00+00:00,42380,42450,42320,42400,1200
2024-01-02 00:02:00+00:00,42400,42500,42350,42480,1400
